Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,RateType,Rate,Education_Field
33,No,Travel_Rarely,Research_Development,13,Female,1,Research_Scientist,Very_High,Single,3452,3,No,Excellent,5,4,3,2,HourlyRate,53,Below_College//Life_Sciences
33,No,Travel_Rarely,Research_Development,13,Female,1,Research_Scientist,Very_High,Single,3452,3,No,Excellent,5,4,3,2,MonthlyRate,17241,Below_College//Life_Sciences
34,Yes,Non-Travel,Sales,19,Male,2,Sales_Executive,Very_High,Single,5304,8,Yes,Excellent,9,3,5,2,DailyRate,1362,Bachelor//Marketing
34,Yes,Non-Travel,Sales,19,Male,2,Sales_Executive,Very_High,Single,5304,8,Yes,Excellent,9,3,5,2,HourlyRate,67,Bachelor//Marketing
34,Yes,Non-Travel,Sales,19,Male,2,Sales_Executive,Very_High,Single,5304,8,Yes,Excellent,9,3,5,2,MonthlyRate,4652,Bachelor//Marketing
35,No,Travel_Frequently,Research_Development,NA,Male,1,Research_Scientist,Very_High,Single,4930,0,Yes,Excellent,6,2,5,4,DailyRate,146,Master//Medical
35,No,Travel_Frequently,Research_Development,NA,Male,1,Research_Scientist,Very_High,Single,4930,0,Yes,Excellent,6,2,5,4,HourlyRate,79,Master//Medical
35,No,Travel_Frequently,Research_Development,NA,Male,1,Research_Scientist,Very_High,Single,4930,0,Yes,Excellent,6,2,5,4,MonthlyRate,13970,Master//Medical
40,No,Travel_Rarely,Sales,14,Female,2,Sales_Executive,Low,Married,4639,1,No,Excellent,5,2,5,4,DailyRate,118,College//Life_Sciences
40,No,Travel_Rarely,Sales,14,Female,2,Sales_Executive,Low,Married,4639,1,No,Excellent,5,2,5,4,HourlyRate,84,College//Life_Sciences
40,No,Travel_Rarely,Sales,14,Female,2,Sales_Executive,Low,Married,4639,1,No,Excellent,5,2,5,4,MonthlyRate,11262,College//Life_Sciences
42,No,Travel_Rarely,Research_Development,2,Female,2,Healthcare_Representative,Very_High,Married,4089,1,No,Excellent,10,4,10,2,DailyRate,622,Master//Life_Sciences
42,No,Travel_Rarely,Research_Development,2,Female,2,Healthcare_Representative,Very_High,Married,4089,1,No,Excellent,10,4,10,2,HourlyRate,81,Master//Life_Sciences
42,No,Travel_Rarely,Research_Development,2,Female,2,Healthcare_Representative,Very_High,Married,4089,1,No,Excellent,10,4,10,2,MonthlyRate,5718,Master//Life_Sciences
44,No,Travel_Rarely,Research_Development,9,Male,1,Research_Scientist,Low,Married,2559,1,Yes,Excellent,8,0,8,7,DailyRate,661,College//Life_Sciences
44,No,Travel_Rarely,Research_Development,9,Male,1,Research_Scientist,Low,Married,2559,1,Yes,Excellent,8,0,8,7,HourlyRate,61,College//Life_Sciences
44,No,Travel_Rarely,Research_Development,9,Male,1,Research_Scientist,Low,Married,2559,1,Yes,Excellent,8,0,8,7,MonthlyRate,7508,College//Life_Sciences
41,No,Travel_Rarely,Research_Development,19,Male,2,Research_Scientist,Low,Divorced,3072,2,No,Excellent,17,2,1,0,DailyRate,1411,College//Life_Sciences
41,No,Travel_Rarely,Research_Development,19,Male,2,Research_Scientist,Low,Divorced,3072,2,No,Excellent,17,2,1,0,HourlyRate,36,College//Life_Sciences
41,No,Travel_Rarely,Research_Development,19,Male,2,Research_Scientist,Low,Divorced,3072,2,No,Excellent,17,2,1,0,MonthlyRate,19877,College//Life_Sciences
35,No,Travel_Rarely,Sales,3,Male,3,Sales_Executive,Very_High,Divorced,7823,6,No,Excellent,12,2,10,9,DailyRate,882,Master//Life_Sciences
35,No,Travel_Rarely,Sales,3,Male,3,Sales_Executive,Very_High,Divorced,7823,6,No,Excellent,12,2,10,9,HourlyRate,92,Master//Life_Sciences
35,No,Travel_Rarely,Sales,3,Male,3,Sales_Executive,Very_High,Divorced,7823,6,No,Excellent,12,2,10,9,MonthlyRate,6812,Master//Life_Sciences
22,No,Travel_Rarely,Research_Development,15,Female,1,Laboratory_Technician,Very_High,Single,2871,1,No,Excellent,1,5,0,0,DailyRate,534,Bachelor//Medical
22,No,Travel_Rarely,Research_Development,15,Female,1,Laboratory_Technician,Very_High,Single,2871,1,No,Excellent,1,5,0,0,HourlyRate,59,Bachelor//Medical
22,No,Travel_Rarely,Research_Development,15,Female,1,Laboratory_Technician,Very_High,Single,2871,1,No,Excellent,1,5,0,0,MonthlyRate,23785,Bachelor//Medical
46,No,Travel_Frequently,Research_Development,18,Female,3,Healthcare_Representative,High,Married,10527,5,No,Excellent,28,3,2,2,DailyRate,1034,Below_College//Medical
46,No,Travel_Frequently,Research_Development,18,Female,3,Healthcare_Representative,High,Married,10527,5,No,Excellent,28,3,2,2,HourlyRate,86,Below_College//Medical
46,No,Travel_Frequently,Research_Development,18,Female,3,Healthcare_Representative,High,Married,10527,5,No,Excellent,28,3,2,2,MonthlyRate,8984,Below_College//Medical
34,No,Travel_Rarely,Research_Development,8,Female,2,Healthcare_Representative,High,Single,6142,3,No,Excellent,10,2,5,1,DailyRate,970,College//Medical
34,No,Travel_Rarely,Research_Development,8,Female,2,Healthcare_Representative,High,Single,6142,3,No,Excellent,10,2,5,1,HourlyRate,96,College//Medical
34,No,Travel_Rarely,Research_Development,8,Female,2,Healthcare_Representative,High,Single,6142,3,No,Excellent,10,2,5,1,MonthlyRate,7360,College//Medical
40,No,Travel_Rarely,Research_Development,2,Male,1,Research_Scientist,High,Single,2809,2,No,Excellent,8,2,2,2,DailyRate,1322,Master//Life_Sciences
40,No,Travel_Rarely,Research_Development,2,Male,1,Research_Scientist,High,Single,2809,2,No,Excellent,8,2,2,2,HourlyRate,52,Master//Life_Sciences
40,No,Travel_Rarely,Research_Development,2,Male,1,Research_Scientist,High,Single,2809,2,No,Excellent,8,2,2,2,MonthlyRate,2725,Master//Life_Sciences
34,No,Travel_Rarely,Sales,8,Male,2,Sales_Executive,High,Married,6799,1,No,Outstanding,10,5,10,8,DailyRate,810,College//Technical_Degree
34,No,Travel_Rarely,Sales,8,Male,2,Sales_Executive,High,Married,6799,1,No,Outstanding,10,5,10,8,HourlyRate,92,College//Technical_Degree
34,No,Travel_Rarely,Sales,8,Male,2,Sales_Executive,High,Married,6799,1,No,Outstanding,10,5,10,8,MonthlyRate,22128,College//Technical_Degree
44,Yes,Travel_Rarely,Research_Development,3,Male,1,Laboratory_Technician,Low,Married,2362,4,No,Excellent,10,4,3,2,DailyRate,935,Bachelor//Life_Sciences
44,Yes,Travel_Rarely,Research_Development,3,Male,1,Laboratory_Technician,Low,Married,2362,4,No,Excellent,10,4,3,2,HourlyRate,89,Bachelor//Life_Sciences
44,Yes,Travel_Rarely,Research_Development,3,Male,1,Laboratory_Technician,Low,Married,2362,4,No,Excellent,10,4,3,2,MonthlyRate,14669,Bachelor//Life_Sciences
37,No,Travel_Rarely,Research_Development,25,Female,2,Healthcare_Representative,Very_High,Divorced,5731,7,No,Excellent,9,2,6,2,DailyRate,367,College//Medical
37,No,Travel_Rarely,Research_Development,25,Female,2,Healthcare_Representative,Very_High,Divorced,5731,7,No,Excellent,9,2,6,2,HourlyRate,52,College//Medical
37,No,Travel_Rarely,Research_Development,25,Female,2,Healthcare_Representative,Very_High,Divorced,5731,7,No,Excellent,9,2,6,2,MonthlyRate,17171,College//Medical
30,No,Non-Travel,Research_Development,9,Male,2,Laboratory_Technician,Low,Divorced,3072,1,No,Excellent,12,4,12,9,DailyRate,111,Bachelor//Medical
30,No,Non-Travel,Research_Development,9,Male,2,Laboratory_Technician,Low,Divorced,3072,1,No,Excellent,12,4,12,9,HourlyRate,66,Bachelor//Medical
30,No,Non-Travel,Research_Development,9,Male,2,Laboratory_Technician,Low,Divorced,3072,1,No,Excellent,12,4,12,9,MonthlyRate,11012,Bachelor//Medical
34,No,Travel_Rarely,Sales,1,Male,3,Sales_Executive,Very_High,Single,9888,1,No,Outstanding,14,3,14,8,DailyRate,937,Bachelor//Marketing
34,No,Travel_Rarely,Sales,1,Male,3,Sales_Executive,Very_High,Single,9888,1,No,Outstanding,14,3,14,8,HourlyRate,32,Bachelor//Marketing
34,No,Travel_Rarely,Sales,1,Male,3,Sales_Executive,Very_High,Single,9888,1,No,Outstanding,14,3,14,8,MonthlyRate,6770,Bachelor//Marketing
41,No,Travel_Rarely,Sales,4,Female,3,Sales_Executive,High,Divorced,10447,0,Yes,Excellent,23,3,22,14,DailyRate,796,Below_College//Marketing
41,No,Travel_Rarely,Sales,4,Female,3,Sales_Executive,High,Divorced,10447,0,Yes,Excellent,23,3,22,14,HourlyRate,81,Below_College//Marketing
41,No,Travel_Rarely,Sales,4,Female,3,Sales_Executive,High,Divorced,10447,0,Yes,Excellent,23,3,22,14,MonthlyRate,26458,Below_College//Marketing
51,Yes,Travel_Rarely,Research_Development,4,Male,1,Research_Scientist,High,Married,2461,9,Yes,Excellent,18,2,10,0,DailyRate,1323,Master//Life_Sciences
51,Yes,Travel_Rarely,Research_Development,4,Male,1,Research_Scientist,High,Married,2461,9,Yes,Excellent,18,2,10,0,HourlyRate,34,Master//Life_Sciences
51,Yes,Travel_Rarely,Research_Development,4,Male,1,Research_Scientist,High,Married,2461,9,Yes,Excellent,18,2,10,0,MonthlyRate,10332,Master//Life_Sciences
50,No,Travel_Rarely,Research_Development,28,Female,4,Research_Director,Low,Married,16880,4,Yes,Excellent,25,2,3,2,DailyRate,1322,Bachelor//Life_Sciences
50,No,Travel_Rarely,Research_Development,28,Female,4,Research_Director,Low,Married,16880,4,Yes,Excellent,25,2,3,2,HourlyRate,43,Bachelor//Life_Sciences
50,No,Travel_Rarely,Research_Development,28,Female,4,Research_Director,Low,Married,16880,4,Yes,Excellent,25,2,3,2,MonthlyRate,22422,Bachelor//Life_Sciences
50,No,Travel_Rarely,Research_Development,11,Female,5,Manager,Medium,Single,19926,3,No,Excellent,21,5,5,4,DailyRate,1452,Bachelor//Life_Sciences
50,No,Travel_Rarely,Research_Development,11,Female,5,Manager,Medium,Single,19926,3,No,Excellent,21,5,5,4,HourlyRate,53,Bachelor//Life_Sciences
50,No,Travel_Rarely,Research_Development,11,Female,5,Manager,Medium,Single,19926,3,No,Excellent,21,5,5,4,MonthlyRate,17053,Bachelor//Life_Sciences
40,No,Travel_Frequently,Sales,5,Male,3,Sales_Executive,Low,Married,10475,5,Yes,Outstanding,20,2,18,13,DailyRate,580,Master//Life_Sciences
40,No,Travel_Frequently,Sales,5,Male,3,Sales_Executive,Low,Married,10475,5,Yes,Outstanding,20,2,18,13,HourlyRate,48,Master//Life_Sciences
40,No,Travel_Frequently,Sales,5,Male,3,Sales_Executive,Low,Married,10475,5,Yes,Outstanding,20,2,18,13,MonthlyRate,23772,Master//Life_Sciences
24,Yes,Travel_Rarely,Research_Development,1,Male,1,Research_Scientist,Very_High,Married,2293,2,Yes,Excellent,6,2,2,0,DailyRate,813,Bachelor//Medical
24,Yes,Travel_Rarely,Research_Development,1,Male,1,Research_Scientist,Very_High,Married,2293,2,Yes,Excellent,6,2,2,0,HourlyRate,61,Bachelor//Medical
24,Yes,Travel_Rarely,Research_Development,1,Male,1,Research_Scientist,Very_High,Married,2293,2,Yes,Excellent,6,2,2,0,MonthlyRate,3020,Bachelor//Medical
37,No,Travel_Rarely,Research_Development,3,Female,2,Healthcare_Representative,Medium,Single,4107,3,No,Excellent,8,3,4,3,DailyRate,124,Bachelor//Other
37,No,Travel_Rarely,Research_Development,3,Female,2,Healthcare_Representative,Medium,Single,4107,3,No,Excellent,8,3,4,3,HourlyRate,35,Bachelor//Other
37,No,Travel_Rarely,Research_Development,3,Female,2,Healthcare_Representative,Medium,Single,4107,3,No,Excellent,8,3,4,3,MonthlyRate,13848,Bachelor//Other
32,Yes,Non-Travel,Sales,11,Male,2,Sales_Executive,High,Married,4707,8,No,Excellent,6,2,4,2,DailyRate,1474,Master//Other
32,Yes,Non-Travel,Sales,11,Male,2,Sales_Executive,High,Married,4707,8,No,Excellent,6,2,4,2,HourlyRate,60,Master//Other
32,Yes,Non-Travel,Sales,11,Male,2,Sales_Executive,High,Married,4707,8,No,Excellent,6,2,4,2,MonthlyRate,23914,Master//Other
31,No,Travel_Rarely,Research_Development,2,Female,1,Laboratory_Technician,Very_High,Divorced,1129,1,Yes,Excellent,1,4,1,0,DailyRate,1276,Below_College//Medical
31,No,Travel_Rarely,Research_Development,2,Female,1,Laboratory_Technician,Very_High,Divorced,1129,1,Yes,Excellent,1,4,1,0,HourlyRate,59,Below_College//Medical
31,No,Travel_Rarely,Research_Development,2,Female,1,Laboratory_Technician,Very_High,Divorced,1129,1,Yes,Excellent,1,4,1,0,MonthlyRate,17536,Below_College//Medical
31,Yes,Travel_Rarely,Sales,20,Female,2,Sales_Executive,High,Married,4559,3,Yes,Excellent,4,2,2,2,DailyRate,542,Bachelor//Life_Sciences
31,Yes,Travel_Rarely,Sales,20,Female,2,Sales_Executive,High,Married,4559,3,Yes,Excellent,4,2,2,2,HourlyRate,71,Bachelor//Life_Sciences
31,Yes,Travel_Rarely,Sales,20,Female,2,Sales_Executive,High,Married,4559,3,Yes,Excellent,4,2,2,2,MonthlyRate,24788,Bachelor//Life_Sciences
39,No,Travel_Rarely,Research_Development,3,Male,2,Laboratory_Technician,High,Divorced,3069,0,No,Excellent,11,3,10,8,DailyRate,170,College//Medical
39,No,Travel_Rarely,Research_Development,3,Male,2,Laboratory_Technician,High,Divorced,3069,0,No,Excellent,11,3,10,8,HourlyRate,76,College//Medical
39,No,Travel_Rarely,Research_Development,3,Male,2,Laboratory_Technician,High,Divorced,3069,0,No,Excellent,11,3,10,8,MonthlyRate,10302,College//Medical
35,No,Non-Travel,Research_Development,3,Male,1,Laboratory_Technician,High,Married,1281,1,No,Excellent,1,3,1,0,DailyRate,727,Bachelor//Life_Sciences
35,No,Non-Travel,Research_Development,3,Male,1,Laboratory_Technician,High,Married,1281,1,No,Excellent,1,3,1,0,HourlyRate,41,Bachelor//Life_Sciences
35,No,Non-Travel,Research_Development,3,Male,1,Laboratory_Technician,High,Married,1281,1,No,Excellent,1,3,1,0,MonthlyRate,16900,Bachelor//Life_Sciences
34,No,Travel_Rarely,Research_Development,10,Male,1,Laboratory_Technician,Medium,Divorced,2008,1,No,Excellent,1,3,1,0,DailyRate,546,Bachelor//Life_Sciences
34,No,Travel_Rarely,Research_Development,10,Male,1,Laboratory_Technician,Medium,Divorced,2008,1,No,Excellent,1,3,1,0,HourlyRate,83,Bachelor//Life_Sciences
34,No,Travel_Rarely,Research_Development,10,Male,1,Laboratory_Technician,Medium,Divorced,2008,1,No,Excellent,1,3,1,0,MonthlyRate,6896,Bachelor//Life_Sciences
31,No,Travel_Rarely,Sales,2,Male,2,Sales_Executive,Very_High,Single,6582,4,Yes,Excellent,10,2,6,5,DailyRate,828,Below_College//Life_Sciences
31,No,Travel_Rarely,Sales,2,Male,2,Sales_Executive,Very_High,Single,6582,4,Yes,Excellent,10,2,6,5,HourlyRate,77,Below_College//Life_Sciences
31,No,Travel_Rarely,Sales,2,Male,2,Sales_Executive,Very_High,Single,6582,4,Yes,Excellent,10,2,6,5,MonthlyRate,8346,Below_College//Life_Sciences
45,No,Travel_Rarely,Research_Development,20,Male,3,Healthcare_Representative,Low,Divorced,10851,2,Yes,Excellent,24,2,7,7,DailyRate,1038,Bachelor//Medical
45,No,Travel_Rarely,Research_Development,20,Male,3,Healthcare_Representative,Low,Divorced,10851,2,Yes,Excellent,24,2,7,7,HourlyRate,95,Bachelor//Medical
45,No,Travel_Rarely,Research_Development,20,Male,3,Healthcare_Representative,Low,Divorced,10851,2,Yes,Excellent,24,2,7,7,MonthlyRate,19863,Bachelor//Medical
55,No,Non-Travel,Research_Development,8,Male,4,Healthcare_Representative,Medium,Divorced,13577,1,Yes,Excellent,34,3,33,9,DailyRate,177,Below_College//Medical
55,No,Non-Travel,Research_Development,8,Male,4,Healthcare_Representative,Medium,Divorced,13577,1,Yes,Excellent,34,3,33,9,HourlyRate,37,Below_College//Medical
55,No,Non-Travel,Research_Development,8,Male,4,Healthcare_Representative,Medium,Divorced,13577,1,Yes,Excellent,34,3,33,9,MonthlyRate,25592,Below_College//Medical
33,No,Travel_Rarely,Research_Development,28,Male,2,Laboratory_Technician,High,Married,5207,1,Yes,Excellent,15,3,15,14,DailyRate,589,Master//Life_Sciences
33,No,Travel_Rarely,Research_Development,28,Male,2,Laboratory_Technician,High,Married,5207,1,Yes,Excellent,15,3,15,14,HourlyRate,79,Master//Life_Sciences
33,No,Travel_Rarely,Research_Development,28,Male,2,Laboratory_Technician,High,Married,5207,1,Yes,Excellent,15,3,15,14,MonthlyRate,22949,Master//Life_Sciences
30,No,Travel_Rarely,Research_Development,16,Male,2,Healthcare_Representative,High,Married,5294,3,No,Excellent,10,3,7,0,DailyRate,305,Bachelor//Life_Sciences
30,No,Travel_Rarely,Research_Development,16,Male,2,Healthcare_Representative,High,Married,5294,3,No,Excellent,10,3,7,0,HourlyRate,58,Bachelor//Life_Sciences
30,No,Travel_Rarely,Research_Development,16,Male,2,Healthcare_Representative,High,Married,5294,3,No,Excellent,10,3,7,0,MonthlyRate,9128,Bachelor//Life_Sciences
34,No,Travel_Rarely,Research_Development,5,Male,2,Laboratory_Technician,Very_High,Married,3986,1,No,Excellent,15,3,15,10,DailyRate,1157,College//Medical
34,No,Travel_Rarely,Research_Development,5,Male,2,Laboratory_Technician,Very_High,Married,3986,1,No,Excellent,15,3,15,10,HourlyRate,57,College//Medical
34,No,Travel_Rarely,Research_Development,5,Male,2,Laboratory_Technician,Very_High,Married,3986,1,No,Excellent,15,3,15,10,MonthlyRate,11912,College//Medical
43,No,Travel_Rarely,Research_Development,6,Male,4,Research_Director,Very_High,Divorced,16627,4,Yes,Excellent,21,3,1,0,DailyRate,782,Master//Other
43,No,Travel_Rarely,Research_Development,6,Male,4,Research_Director,Very_High,Divorced,16627,4,Yes,Excellent,21,3,1,0,HourlyRate,50,Master//Other
43,No,Travel_Rarely,Research_Development,6,Male,4,Research_Director,Very_High,Divorced,16627,4,Yes,Excellent,21,3,1,0,MonthlyRate,2671,Master//Other
37,No,Travel_Rarely,Human_Resources,8,Male,2,Human_Resources,Medium,Divorced,4071,2,No,Excellent,19,4,10,0,DailyRate,1239,College//Other
37,No,Travel_Rarely,Human_Resources,8,Male,2,Human_Resources,Medium,Divorced,4071,2,No,Excellent,19,4,10,0,HourlyRate,89,College//Other
37,No,Travel_Rarely,Human_Resources,8,Male,2,Human_Resources,Medium,Divorced,4071,2,No,Excellent,19,4,10,0,MonthlyRate,12832,College//Other
50,No,Travel_Frequently,Research_Development,1,Female,5,Research_Director,Medium,Married,18172,3,Yes,Excellent,28,1,8,3,DailyRate,1115,Bachelor//Life_Sciences
50,No,Travel_Frequently,Research_Development,1,Female,5,Research_Director,Medium,Married,18172,3,Yes,Excellent,28,1,8,3,HourlyRate,73,Bachelor//Life_Sciences
50,No,Travel_Frequently,Research_Development,1,Female,5,Research_Director,Medium,Married,18172,3,Yes,Excellent,28,1,8,3,MonthlyRate,9755,Bachelor//Life_Sciences
32,No,Travel_Rarely,Research_Development,4,Female,2,Manufacturing_Director,High,Married,6162,1,No,Excellent,14,3,14,13,DailyRate,859,Bachelor//Life_Sciences
32,No,Travel_Rarely,Research_Development,4,Female,2,Manufacturing_Director,High,Married,6162,1,No,Excellent,14,3,14,13,HourlyRate,98,Bachelor//Life_Sciences
32,No,Travel_Rarely,Research_Development,4,Female,2,Manufacturing_Director,High,Married,6162,1,No,Excellent,14,3,14,13,MonthlyRate,19124,Bachelor//Life_Sciences
27,No,Travel_Rarely,Research_Development,19,Male,1,Laboratory_Technician,Low,Divorced,4066,1,No,Excellent,7,3,7,7,DailyRate,1302,Bachelor//Other
27,No,Travel_Rarely,Research_Development,19,Male,1,Laboratory_Technician,Low,Divorced,4066,1,No,Excellent,7,3,7,7,HourlyRate,67,Bachelor//Other
27,No,Travel_Rarely,Research_Development,19,Male,1,Laboratory_Technician,Low,Divorced,4066,1,No,Excellent,7,3,7,7,MonthlyRate,16290,Bachelor//Other
27,No,Travel_Frequently,Sales,8,Male,2,Sales_Executive,Very_High,Married,4342,NA,No,Excellent,5,3,4,2,DailyRate,829,Below_College//Marketing
27,No,Travel_Frequently,Sales,8,Male,2,Sales_Executive,Very_High,Married,4342,NA,No,Excellent,5,3,4,2,HourlyRate,84,Below_College//Marketing
27,No,Travel_Frequently,Sales,8,Male,2,Sales_Executive,Very_High,Married,4342,NA,No,Excellent,5,3,4,2,MonthlyRate,24008,Below_College//Marketing
49,No,Travel_Rarely,Research_Development,7,Male,3,Healthcare_Representative,High,Single,10965,8,No,Outstanding,26,2,5,2,DailyRate,1261,Bachelor//Other
49,No,Travel_Rarely,Research_Development,7,Male,3,Healthcare_Representative,High,Single,10965,8,No,Outstanding,26,2,5,2,HourlyRate,31,Bachelor//Other
49,No,Travel_Rarely,Research_Development,7,Male,3,Healthcare_Representative,High,Single,10965,8,No,Outstanding,26,2,5,2,MonthlyRate,12066,Bachelor//Other
50,Yes,Travel_Frequently,Sales,1,Male,2,Sales_Executive,High,Single,4728,3,Yes,Excellent,5,4,0,0,DailyRate,959,Master//Other
50,Yes,Travel_Frequently,Sales,1,Male,2,Sales_Executive,High,Single,4728,3,Yes,Excellent,5,4,0,0,HourlyRate,81,Master//Other
50,Yes,Travel_Frequently,Sales,1,Male,2,Sales_Executive,High,Single,4728,3,Yes,Excellent,5,4,0,0,MonthlyRate,17251,Master//Other
24,No,Travel_Rarely,Research_Development,24,Male,1,Laboratory_Technician,Medium,Single,3597,8,No,Outstanding,6,2,4,3,DailyRate,477,Bachelor//Medical
24,No,Travel_Rarely,Research_Development,24,Male,1,Laboratory_Technician,Medium,Single,3597,8,No,Outstanding,6,2,4,3,HourlyRate,49,Bachelor//Medical
24,No,Travel_Rarely,Research_Development,24,Male,1,Laboratory_Technician,Medium,Single,3597,8,No,Outstanding,6,2,4,3,MonthlyRate,6409,Bachelor//Medical
27,No,Travel_Frequently,Research_Development,10,Male,3,Manufacturing_Director,Low,Divorced,8793,1,No,Outstanding,9,4,9,7,DailyRate,294,College//Life_Sciences
27,No,Travel_Frequently,Research_Development,10,Male,3,Manufacturing_Director,Low,Divorced,8793,1,No,Outstanding,9,4,9,7,HourlyRate,32,College//Life_Sciences
27,No,Travel_Frequently,Research_Development,10,Male,3,Manufacturing_Director,Low,Divorced,8793,1,No,Outstanding,9,4,9,7,MonthlyRate,4809,College//Life_Sciences
18,No,Non-Travel,Research_Development,1,Female,1,Laboratory_Technician,Very_High,Single,1611,1,No,Excellent,0,5,0,0,DailyRate,1124,Bachelor//Life_Sciences
18,No,Non-Travel,Research_Development,1,Female,1,Laboratory_Technician,Very_High,Single,1611,1,No,Excellent,0,5,0,0,HourlyRate,97,Bachelor//Life_Sciences
18,No,Non-Travel,Research_Development,1,Female,1,Laboratory_Technician,Very_High,Single,1611,1,No,Excellent,0,5,0,0,MonthlyRate,19305,Bachelor//Life_Sciences
32,No,Travel_Rarely,Research_Development,2,Male,2,Research_Scientist,Medium,Divorced,5470,0,No,Excellent,10,4,9,5,DailyRate,977,Bachelor//Medical
32,No,Travel_Rarely,Research_Development,2,Male,2,Research_Scientist,Medium,Divorced,5470,0,No,Excellent,10,4,9,5,HourlyRate,45,Bachelor//Medical
